Timestamp,ABA00243_Fuel_Rate,ABA00133_Fuel_Rate,ABA00223_Fuel_Rate,ABA00247_Fuel_Rate,Site
2021-08-20,,,,66.0,Lewis Hamilton
2021-08-21,,,,62.0,Lewis Hamilton
2021-08-22,,,,,Lewis Hamilton
2021-08-23,,,,154.0,Lewis Hamilton
2021-08-24,,,,59.0,Lewis Hamilton
2021-08-25,,,,63.0,Lewis Hamilton
2021-08-26,,,,66.0,Lewis Hamilton
2021-08-27,,,,120.0,Lewis Hamilton
2021-08-28,,,,205.0,Lewis Hamilton
2021-08-29,,,,57.0,Lewis Hamilton
2021-08-30,,,,63.0,Lewis Hamilton
2021-08-31,,,,66.0,Lewis Hamilton
2021-09-01,,,,53.0,Lewis Hamilton
2021-09-02,,,,173.0,Lewis Hamilton
2021-09-03,,,,115.0,Lewis Hamilton
2021-09-04,,,,168.0,Lewis Hamilton
2021-09-05,,,,61.0,Lewis Hamilton
2021-09-06,,,,59.0,Lewis Hamilton
2021-09-07,,,,67.0,Lewis Hamilton
2021-09-08,,,,,Lewis Hamilton
2021-09-09,,,,68.0,Lewis Hamilton
2021-09-10,,,,70.0,Lewis Hamilton
2021-09-11,,,,64.0,Lewis Hamilton
2021-09-12,,,,67.0,Lewis Hamilton
2021-09-13,,,,67.0,Lewis Hamilton
2021-09-14,,,,,Lewis Hamilton
2021-09-15,,,,59.0,Lewis Hamilton
2021-09-16,,,,170.0,Lewis Hamilton
2021-09-17,,,,126.0,Lewis Hamilton
2021-09-18,,,,129.0,Lewis Hamilton
2021-09-19,,,,134.0,Lewis Hamilton
2021-09-20,,,,65.0,Lewis Hamilton
2021-09-21,,,,67.0,Lewis Hamilton
2021-09-22,,,,,Lewis Hamilton
2021-09-23,,,,61.0,Lewis Hamilton
2021-09-24,,,,56.0,Lewis Hamilton
2021-09-25,,,,,Lewis Hamilton
2021-09-26,,,,61.0,Lewis Hamilton
2021-09-27,,,,59.0,Lewis Hamilton
2021-09-28,,,,58.0,Lewis Hamilton
2021-09-29,,,,61.0,Lewis Hamilton
2021-09-30,,,,122.0,Lewis Hamilton
2021-10-01,,,,120.0,Lewis Hamilton
2021-10-02,,,,142.0,Lewis Hamilton
2021-10-03,,,,113.0,Lewis Hamilton
2021-10-04,,,,62.0,Lewis Hamilton
2021-10-05,,,,92.0,Lewis Hamilton
2021-10-06,,,,77.0,Lewis Hamilton
2021-10-07,,,,61.0,Lewis Hamilton
2021-10-08,,,,72.0,Lewis Hamilton
2021-10-09,,,,69.0,Lewis Hamilton
2021-10-10,,,,124.0,Lewis Hamilton
2021-10-11,,,,82.0,Lewis Hamilton
2021-10-12,,,,163.0,Lewis Hamilton
2021-10-13,,112.0,103.0,,Lewis Hamilton
2021-10-14,,137.0,141.0,128.0,Lewis Hamilton
2021-10-15,,85.0,116.0,84.0,Lewis Hamilton
2021-10-16,,191.0,139.0,145.0,Lewis Hamilton
2021-10-17,,95.0,85.0,68.0,Lewis Hamilton
2021-10-18,,115.0,97.0,36.0,Lewis Hamilton
2021-10-19,,98.0,90.0,65.0,Lewis Hamilton
2021-10-20,,101.0,88.0,59.0,Lewis Hamilton
2021-10-21,,94.0,75.0,59.0,Lewis Hamilton
2021-10-22,,,,59.0,Lewis Hamilton
2021-10-23,,,,158.0,Lewis Hamilton
2021-10-24,,,,112.0,Lewis Hamilton
2021-10-25,,,,84.0,Lewis Hamilton
2021-10-26,,,,60.0,Lewis Hamilton
2021-10-27,,,,63.0,Lewis Hamilton
2021-10-28,,,,79.0,Lewis Hamilton
2021-10-29,,,,84.0,Lewis Hamilton
2021-10-30,,,,138.0,Lewis Hamilton
2021-10-31,,,,48.0,Lewis Hamilton
2021-11-01,,,,86.0,Lewis Hamilton
2021-11-02,,,,,Lewis Hamilton
2021-11-03,,,,66.0,Lewis Hamilton
2021-11-04,,,,59.0,Lewis Hamilton
2021-11-05,,,,82.0,Lewis Hamilton
2021-11-06,,,,58.0,Lewis Hamilton
2021-11-07,,,,60.0,Lewis Hamilton
2021-11-08,,,,60.0,Lewis Hamilton
2021-11-09,,,,58.0,Lewis Hamilton
2021-11-10,,,,68.0,Lewis Hamilton
2021-11-11,,,,94.0,Lewis Hamilton
2021-11-12,,,,92.0,Lewis Hamilton
2021-11-13,,,,93.0,Lewis Hamilton
2021-11-14,,,,62.0,Lewis Hamilton
2021-11-15,,,,64.0,Lewis Hamilton
2021-11-16,,,,73.0,Lewis Hamilton
2021-11-17,,,,61.0,Lewis Hamilton
2021-11-18,,,,63.0,Lewis Hamilton
2021-11-19,,,,64.0,Lewis Hamilton
2021-11-20,,,,59.0,Lewis Hamilton
2021-11-21,,,,,Lewis Hamilton
2021-11-22,,,,,Lewis Hamilton
2021-11-23,,,,,Lewis Hamilton
2021-11-24,,,73.0,,Lewis Hamilton
2021-11-25,,,72.0,,Lewis Hamilton
2021-11-26,,,71.0,,Lewis Hamilton
2021-11-27,,,,,Lewis Hamilton
2021-11-28,,,81.0,,Lewis Hamilton
2021-11-29,,,,,Lewis Hamilton
2021-11-30,58.0,52.0,71.0,54.0,Lewis Hamilton
2021-12-01,,,80.0,,Lewis Hamilton
2021-12-02,,,79.0,,Lewis Hamilton
2021-12-03,,,78.0,63.0,Lewis Hamilton
2021-12-04,,,,63.0,Lewis Hamilton
2021-12-05,,,,64.0,Lewis Hamilton
2021-12-06,,,81.0,62.0,Lewis Hamilton
2021-12-07,,,80.0,,Lewis Hamilton
2021-12-08,,91.0,80.0,62.0,Lewis Hamilton
2021-12-09,,,,65.0,Lewis Hamilton
2021-12-10,,,,65.0,Lewis Hamilton
2021-12-11,,81.0,,50.0,Lewis Hamilton
2021-12-12,,69.0,,45.0,Lewis Hamilton
2021-12-13,,69.0,,54.0,Lewis Hamilton
2021-12-14,,,,,Lewis Hamilton
2021-12-15,,,,,Lewis Hamilton
2021-12-16,,69.0,,,Lewis Hamilton
2021-12-17,,69.0,,52.0,Lewis Hamilton
2021-12-18,,69.0,,52.0,Lewis Hamilton
2021-12-19,,69.0,,,Lewis Hamilton
2021-12-20,,,,57.0,Lewis Hamilton
2021-12-21,,69.0,,144.0,Lewis Hamilton
2021-12-22,,102.0,,61.0,Lewis Hamilton
2021-12-23,,109.0,,67.0,Lewis Hamilton
2021-12-24,,128.0,,60.0,Lewis Hamilton
2021-12-25,,163.0,,150.0,Lewis Hamilton
2021-12-26,,96.0,,62.0,Lewis Hamilton
2021-12-27,,106.0,,61.0,Lewis Hamilton
2021-12-28,,105.0,,65.0,Lewis Hamilton
2021-12-29,,100.0,,56.0,Lewis Hamilton
2021-12-30,,103.0,,61.0,Lewis Hamilton
2021-12-31,,110.0,,,Lewis Hamilton
2022-01-01,,111.0,,,Lewis Hamilton
2022-01-02,,,,,Lewis Hamilton
2022-01-03,,,,,Lewis Hamilton
2022-01-04,,,,,Lewis Hamilton
2022-01-05,,,,,Lewis Hamilton
2022-01-06,,,,,Lewis Hamilton
2022-01-07,,,,,Lewis Hamilton
2022-01-08,,,,,Lewis Hamilton
2022-01-09,,,,,Lewis Hamilton
2022-01-10,,,,,Lewis Hamilton
2022-01-11,,,,,Lewis Hamilton
2022-01-12,,,,,Lewis Hamilton
2022-01-13,,,,,Lewis Hamilton
2022-01-14,,,,,Lewis Hamilton
2022-01-15,,,,,Lewis Hamilton
2022-01-16,,,,,Lewis Hamilton
2022-01-17,,,,,Lewis Hamilton
2022-01-18,,,,,Lewis Hamilton
2022-01-19,,,,,Lewis Hamilton
2022-01-20,,,,,Lewis Hamilton
2022-01-21,,,,,Lewis Hamilton
2022-01-22,,,,,Lewis Hamilton
2022-01-23,,,,,Lewis Hamilton
2022-01-24,,,,,Lewis Hamilton
2022-01-25,,,,,Lewis Hamilton
2022-01-26,,,,,Lewis Hamilton
2022-01-27,,,,,Lewis Hamilton
2022-01-28,,,,,Lewis Hamilton
2022-01-29,,,,,Lewis Hamilton
2022-01-30,,,,,Lewis Hamilton
2022-01-31,,,,,Lewis Hamilton
2022-02-01,,,,,Lewis Hamilton
2022-02-02,,,,,Lewis Hamilton
2022-02-03,,,,,Lewis Hamilton
2022-02-04,,,,,Lewis Hamilton
2022-02-05,,,,,Lewis Hamilton
2022-02-06,,,,,Lewis Hamilton
2022-02-07,,,,,Lewis Hamilton
2022-02-08,,,,,Lewis Hamilton
2022-02-09,,,,,Lewis Hamilton
2022-02-10,,,,,Lewis Hamilton
2022-02-11,,,,,Lewis Hamilton
2022-02-12,,,,,Lewis Hamilton
2022-02-13,,,,,Lewis Hamilton
2022-02-14,,,,,Lewis Hamilton
2022-02-15,,,,,Lewis Hamilton
2022-02-16,,,,,Lewis Hamilton
2022-02-17,,,,,Lewis Hamilton
2022-02-18,,,,,Lewis Hamilton
2022-02-19,,,,,Lewis Hamilton
2022-02-20,,,,,Lewis Hamilton
2022-02-21,,,,,Lewis Hamilton
2022-02-22,,,,,Lewis Hamilton
2022-02-23,,,,,Lewis Hamilton
2022-02-24,,,,,Lewis Hamilton
2022-02-25,,,,,Lewis Hamilton
2022-02-26,,,,,Lewis Hamilton
2022-02-27,,,,,Lewis Hamilton
2022-02-28,,,,,Lewis Hamilton
2022-03-01,,,,,Lewis Hamilton
2022-03-02,,,,,Lewis Hamilton
2022-03-03,,,,,Lewis Hamilton
2022-03-04,,,,,Lewis Hamilton
2022-03-05,,,,,Lewis Hamilton
2022-03-06,,,,,Lewis Hamilton
2022-03-07,,,,,Lewis Hamilton
2022-03-08,,,,,Lewis Hamilton
2022-03-09,,,,,Lewis Hamilton
2022-03-10,,,,,Lewis Hamilton
2022-03-11,,,,,Lewis Hamilton
2022-03-12,,,,,Lewis Hamilton
2022-03-13,,,,,Lewis Hamilton
2022-03-14,,,,,Lewis Hamilton
2022-03-15,,,,,Lewis Hamilton
2022-03-16,,,,,Lewis Hamilton
2022-03-17,,,,,Lewis Hamilton
2022-03-18,,,,,Lewis Hamilton
2022-03-19,,,,,Lewis Hamilton
2022-03-20,,,,,Lewis Hamilton
2022-03-21,,,,,Lewis Hamilton
2022-03-22,,,,,Lewis Hamilton
2022-03-23,,,,,Lewis Hamilton
2022-03-24,,,,,Lewis Hamilton
2022-03-25,,,,,Lewis Hamilton
2022-03-26,,,,,Lewis Hamilton
2022-03-27,,,,,Lewis Hamilton
2022-03-28,,,,,Lewis Hamilton
2022-03-29,,,,,Lewis Hamilton
2022-03-30,,,,,Lewis Hamilton
2022-03-31,,,,,Lewis Hamilton
2022-04-01,,,,,Lewis Hamilton
2022-04-02,,,,,Lewis Hamilton
2022-04-03,,,,,Lewis Hamilton
2022-04-04,,,,,Lewis Hamilton
2022-04-05,,,,,Lewis Hamilton
2022-04-06,,,,,Lewis Hamilton
2022-04-07,,,,,Lewis Hamilton
2022-04-08,,,,,Lewis Hamilton
2022-04-09,,,,,Lewis Hamilton
2022-04-10,,,,,Lewis Hamilton
2022-04-11,,,,,Lewis Hamilton
2022-04-12,,,,,Lewis Hamilton
2022-04-13,,,,,Lewis Hamilton
2022-04-14,,,,,Lewis Hamilton
2022-04-15,,,,,Lewis Hamilton
2022-04-16,,,,,Lewis Hamilton
2022-04-17,,,,,Lewis Hamilton
2022-04-18,,,,,Lewis Hamilton
2022-04-19,,,,,Lewis Hamilton
2022-04-20,,,,,Lewis Hamilton
2022-04-21,,,,,Lewis Hamilton
2022-04-22,,,,,Lewis Hamilton
2022-04-23,,,,,Lewis Hamilton
2022-04-24,,,,,Lewis Hamilton
2022-04-25,,,,,Lewis Hamilton
2022-04-26,,,,,Lewis Hamilton
2022-04-27,,,,,Lewis Hamilton
2022-04-28,,,,,Lewis Hamilton
