Código,Descrição,Tradução,Causas,Recomendações,Consequências,Peso,Causes,Recomendações EN
111--17,Engine Coolant Level:Low - least severe (1),,Baixo nível de liquido de arrefecimento.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",,1.0,Low level of cooling liquid.,"Check for leaks in the cooling system, aftercoolers, heat exchangers."
111--18,Engine Coolant Level:Low - moderate severity (2),Baixo nível de liquido de arrefecimento.,Baixo nível de liquido de arrefecimento.,"Checar por vazamentos no sistema de arrefecimento, aftercoolers, trocadores de calor.",,1.0,Low level of cooling liquid.,"Check for leaks in the cooling system, aftercoolers, heat exchangers."
1148--5,Engine Exhaust Gas Port 12 Temperature:Current Below Normal,Corrente abaixo do Normal no Sensor de Gás de Exaustão do Motor na Porta 12,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1176--3,Engine Turbocharger #1 Compressor Inlet Pressure:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1177--3,Engine Turbocharger #2 Compressor Inlet Pressure:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1208--11,Engine Pre-filter Oil Pressure:Other Failure Mode,,Falha desconhecida.,Existe condição de falha ativa desconhecida. O sintoma deve ser investigado localmente.,,1.0,Unknown failure.,There is unknown active failure condition. The symptom should be investigated locally.
1208--3,Engine Pre-filter Oil Pressure:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1249--13,Secondary Throttle Position calibration required ,,Falta de calibração sensor de posição do acelerador. ,A calibração do sensor de posição do acelerador requer o uso do Cat ET. ,,1.0,Lack of accelerator position sensor calibration.,The accelerator position sensor calibration requires the use of Cat ET.
1249--8,Secondary Throttle Position signal abnormal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
127--3,Transmission Oil Pressure Sensor:Voltage Above Normal,Sensor de Pressão do Óleo de Transmissão: Tensão acima do normal,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective whip, disconnected sensor.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
13--5,Cylinder #13 Injector:Current Below Normal,,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
1382--11,Engine Fuel Filter (suction side) Differential Pressure:Other Failure Mode,,Falha desconhecida.,Existe condição de falha ativa desconhecida. O sintoma deve ser investigado localmente.,,1.0,Unknown failure.,There is unknown active failure condition. The symptom should be investigated locally.
1382--3,Engine Fuel Filter (suction side) Differential Pressure:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1383--11,Engine was Shut Down Hot: Other Failure Mode,Motor foi desligado ainda quente,Motor foi desligado ainda quente,Realizar o procedimento de cool down do motor antes do desligamento total do motor.,"Pode provocar pitting nas camisas e superaquecimento de algumas partes do motor como mancais de turbina, ocasionando desgaste prematuro do mesmo.",2.0,Motor was turned off yet hot,Conduct the engine cool procedure before the total engine shutdown.
1440--9,Throttle Actuator:Abnormal Update Rate,,"Falha na comunicação com o ECM, Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Verificar tensões e curto circuitos; Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Communication failed with ECM, defective sensor, defective or disconnected interconnect cable.",Check tensions and short circuits; Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1442--9,Fuel Actuator #1:Abnormal Update Rate,,"Falha na comunicação com o ECM, Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Verificar tensões e curto circuitos; Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Communication failed with ECM, defective sensor, defective or disconnected interconnect cable.",Check tensions and short circuits; Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
14--5,Cylinder #14 Injector:Current Below Normal,Cilindro #14 injetor: Corrente abaixo do normal,"Normalmente, problemas com o solenóide do injetor ocorrem quando o motor é aquecido e / ou quando o motor está sob vibração (cargas pesadas). ","Inspecione os conectores elétricos e a fiação, realize o ""Teste de corte do cilindro"", verifique o chicote entre o ECM e os conectores do injetor em busca de um circuito aberto.",,1.0,"Normally, problems with the injector solenoid occur when the engine is heated and / or when the engine is under vibration (heavy loads).","Inspect the electrical connectors and wiring, perform the ""cylinder cutting test"", check the whip between ECM and the injector connectors in search of an open circuit."
1491--4,Right Turbo Turbine Inlet Temperature Sensor:Voltage Below Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1492--3,Left Turbo Turbine Inlet Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective interconnection cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
1495--2,Injector Trim Codes Not Programmed,,Instalação de novo injetor sem cadastro no ECM.,Cadastrar informações do injetor no ECM.,,,Installation of new injector without registration in ECM.,Register Injector information in ECM.
16--5,Cylinder #16 Injector:Current Below Normal,,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,,1.0,"Defective gun, defective interconnection cable.",Checking the injector and interconnection cables; Injector exchange and interconnection cables.
1656--2,"Engine Automatic Start Enable Switch:Erratic, Intermittent, or Incorrect",,"Botoeira defeituoso, cabo de interligação defeituoso.",Checagem do botoeira e cabos de interligação; Troca do botoeira e cabos de interligação.,,1.0,"Defective button, defective interconnection cable.",Checking the button and interconnection cables; Botoira exchange and interconnection cables.
1664--31,Engine Automatic Start Failed,,Tentativa de partida não sucedida.,"Houve uma tentativa de partida não sucedida. O tempo em condição de partida foi superior ao limite configurado no ECM e ao ser o ultrapassado, o motor entra em condição de shutdown.",,1.0,Attempt of unsuccessful departure.,"There was an attempt to start unsuccessful. The time in starting condition was higher than the limit configured in ECM and the outdated, the engine enters Shutdown condition."
168--0,Electrical System Voltage:High,,A tensão de alimentação da bateria é superior a 32 VDC por dois segundos. O ECM do motor foi alimentado por três segundos. O motor não está sendo acionado.,"Checar cabos e conectores, tensão do ECM e da bateria e Tensão do ECS.",,1.0,The battery power voltage is greater than 32 VDC for two seconds. The engine ECM was fed for three seconds. The engine is not being triggered.,"Check cables and connectors, ECM and battery voltage and ECS voltage."
168--1,Electrical System Voltage: Low,,A tensão de alimentação da bateria é inferior a 9 VDC por dois segundos. O ECM do motor foi alimentado por três segundos. O motor não está sendo acionado.,"Checar cabos e conectores, tensão do ECM e da bateria e Tensão do ECS.",,1.0,The battery power voltage is less than 9 VDC for two seconds. The engine ECM was fed for three seconds. The engine is not being triggered.,"Check cables and connectors, ECM and battery voltage and ECS voltage."
168--2,"Electrical System Voltage: Erratic, Intermittent, or Incorrect",,"O motor está funcionando. A tensão da bateria cai abaixo de 9 VDC por pelo menos 0,06 segundos. A voltagem retorna acima de 9 VDC ou Três leituras de tensão nos últimos sete segundos ficaram abaixo de 9 VDC.","Checar cabos e conectores, tensão do ECM e da bateria e Tensão do ECS.",,1.0,The engine is working. The battery voltage falls below 9 VDC for at least 0.06 seconds. The voltage returns above 9 VDC or three voltage readings in the last seven seconds were below 9 VDC.,"Check cables and connectors, ECM and battery voltage and ECS voltage."
168--3,Electrical System Voltage:Voltage Above Normal,,A tensão de alimentação da bateria é inferior a 9 VDC por dois segundos. O ECM do motor foi alimentado por três segundos. O motor não está sendo acionado.,"Checar cabos e conectores, tensão do ECM e da bateria e Tensão do ECS.",,,The battery power voltage is less than 9 VDC for two seconds. The engine ECM was fed for three seconds. The engine is not being triggered.,"Check cables and connectors, ECM and battery voltage and ECS voltage."
17--1,High Engine Coolant Temperature Warning,,"Nível de fluido de arrefecimento baixo, qualidade do fluido, ar no sistema de arrefecimento, válvula termostática, bomba de água de jaqueta, aftercooler.","Inspecionar o nível do líquido de arrefecimento e Verificar sua qualidade, Verificar presença de ar no sistema de arrefecimento, Verificar as aletas de refrigeração no radiador. Verificar o sistema de arrefecimento quanto a vazamentos. Verificar se o motor não está com sobrecarga.",,1.0,"Level of cooling fluid, fluid quality, air in cooling system, thermostatic valve, jacket water pump, aftercooler.","Inspect the coolant level and check your quality, check air presence in the cooling system, check the cooling fins on the radiator. Check the cooling system for leaks. Check that the engine is not overloaded."
172--15,Engine Air Inlet Temperature:High - least severe (1),Alta Temperatura de Entrada de Ar,"Alta temperatura de ar ambiente, Alta temperatura do líquido de arrefecimento, Restrição de entrada de ar e/ou elevada altitude, Sensor de temperatura de ar de entrada com defeito e/ou circuito, Fluxo insuficiente de água de resfriamento através do pós-arrefecedor, Fluxo insuficiente de ar através do pós-arrefecedor.","Verificar alta temperatura de ar ambiente, Verificar temperatura de arrefecimento, Verificar se há alta restrição de ar na entrada e/ou altitude elevada, Verificar o sensor de temperatura de ar do coletor de admissão e/ou o circuito, Verificar se há fluxo suficiente de líquido de arrefecimento através do aftercooler, Verificat se há fluxo de ar suficiente através do aftercooler.",,1.0,"High ambient air temperature, high temperature of the coolant, air inlet restriction and / or high altitude, defective inlet air temperature sensor and / or circuit, insufficient flow of cooling water through theaftercooler, Insufficient flow of air through theaftercooler.","Check high temperature of ambient air, check cooling temperature, check for high air restriction in the inlet and / or high altitude, check the intake collector air temperature sensor and / or circuit, check for sufficient flow Cooling liquid through aftercooler, verify if there is enough airflow through afterCooler."
172--3,Intake Manifold Air Temperature Sensor:Voltage Above Normal,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,,1.0,"Defective sensor, defective or disconnected interconnect cable.",Sensor checks and interconnection cables; Exchange of the sensor and interconnection cables.
173--15,Engine Exhaust Gas Temperature:High - least severe (1),,"Restrição da vazão de ar de admissão, vazamento no coletor de admissão ou descarga, retrição na descarga, injetores defeituosos, redução de performance do aftercooler.","Chegagem da entrada de ar do motor a procura de restrições ou vazamentos, checagem do coletor de descarga a procura de vazamentos entre o coletor e o turbo-compressor, checagem da saída da descarga de gases a procura de restrições ou alta co ntra-pressão, checagem da performance dos injetores, checagem do aftercooler a procura de vazamentos ou entupimento das aletas internas.",,1.0,"Restriction of the intake air flow, leakage in the admission or discharge collector, retrieval in discharge, defective guns, aftercooler performance reduction.","The search for restrictions or leaks, discharge collector checking the search for leaks between the collector and the turbo-compressor, checking the exit of the gas discharge to the demand for restrictions or high co-pressure, Checking the performance of the injectors, aftercooler checking the search for leaks or clogging of the internal fins."
174--15,Engine Fuel Temperature 1:High - least severe (1),,"Válvula reguladora de pressão de combustível, Nível de combustível, Linhas de combustível, Motor superaquecido.","Inspecionar a válvula reguladora de pressão de combustível de retorno. Certificar-se de que o tanque de combustível contém combustível suficiente. À medida que o nível do tanque de combustível diminui, a temperatura do combustível geralmente aumenta. Certificar-se de que o fluxo de retorno de combustível para o tanque de combustível não esteja obstruído. ",,1.0,"Fuel pressure regulator valve, fuel level, fuel lines, overheated motor.","Inspect the return fuel pressure regulator valve. Make sure the fuel tank contains enough fuel. As the level of the fuel tank decreases, the fuel temperature generally increases. Make sure that the fuel return flow to the fuel tank is not obstructed."
